9.05,0.1,2.45,1.43,3.46,1000000
11.27,0.09,1.47,1.27,1.68,1000000000
10.65,0.09,5.9,5.39,6.51,100000000
11.5,0.09,8.81,4.35,17.81,100000000
11.74,0.09,4.65,4.24,5.38,1000000000
11.33,0.09,3.87,3.16,4.48,1000000000
11.61,0.09,3.72,3.21,3.83,1000000000
10.5,0.09,1.78,0.85,2.72,100000000
10.91,0.09,4.16,3.12,5.2,100000000
11.01,0.09,4.65,3.66,5.64,100000000
10.85,0.09,9.78,6.7,12.86,100000000
11.62,0.09,9.25,8.38,10.23,100000000
11.84,0.09,2.54,2.44,3.12,1000000000
10.85,0.09,0.9,0.45,1.35,100000000
11.72,0.09,6.15,5.78,6.53,1000000000
10.04,0.09,1.44,0.92,1.97,10000000
11.64,0.09,4.72,3.67,5.76,1000000000
10.97,0.09,2.02,1.52,2.53,100000000
11.16,0.09,2.44,2.07,2.56,1000000000
11.28,0.09,8.55,4.07,12.93,100000000
11.6,0.09,3.69,2.65,3.79,1000000000
11,0.09,2.73,1.94,3.41,100000000
10.57,0.09,4.87,3.34,6.4,100000000
11.69,0.09,3.74,2.59,5.5,1000000000
11.25,0.09,2.1,2,2.73,1000000000
11.65,0.09,2.3,2.19,3.45,1000000000
11.75,0.09,1.34,0.93,1.85,1000000000
11.6,0.09,2.48,2.29,2.96,1000000000
